,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
4,130.75,12.902560616952067,72.66523813893498,15.165840143816114,11.479333310690858,51.798989873223334,106.0,143.5793499043977,221.0
5,167.0,14.581872443920643,-77.61165452910251,15.549732301473112,13.932883656597944,48.8492424049175,106.0,153.51047904191617,224.0
6,95.75,11.041407809169618,-87.17267330163698,15.500621999116904,8.29773526172231,44.31370849898476,106.0,133.79895561357702,202.0
7,52.75,8.19532708223289,-88.12930021203762,12.473638244120625,5.975534871382224,32.89949493661167,106.0,121.1563981042654,145.0
8,80.25,10.108287365572707,86.94593512044594,17.500602306425158,6.540490491832406,48.55634918610404,106.0,134.7663551401869,200.0
9,51.25,8.07796550300118,89.34028378870875,11.480349397988977,6.016094422155194,29.071067811865476,106.0,130.69268292682926,170.0
10,14.75,4.3336224206596095,84.09768029875072,6.390091957676897,3.0679075236453257,14.535533905932738,106.0,116.67796610169492,124.0
11,122.75,12.501606061472312,82.65166608712863,16.14485658937106,10.594320172211956,48.97056274847714,106.0,138.5621181262729,181.0
12,95.0,10.998079684646791,-84.07036823592544,13.157829919562552,9.625341057761261,40.31370849898476,106.0,139.67368421052632,175.0
13,115.5,12.126795430653198,87.71790748399638,19.00629695083355,8.695306505997666,55.367009357883866,106.0,132.87229437229436,219.0
14,148.75,13.762063154896342,81.75976839915899,15.004007409058959,13.410468927614321,56.92031021678297,106.0,162.54285714285714,224.0
15,153.5,13.980066885278035,56.97724723627907,16.173768363368502,12.378996726536947,49.67766952966369,106.0,151.6840390879479,216.0
16,20.0,5.046265044040321,45.40016954311395,6.090943836786807,4.442736001284435,16.535533905932738,106.0,135.2,176.0
17,60.0,8.740387444736633,-7.01411423629664,14.147726460193782,6.30580331535778,36.84924240491749,106.0,123.40833333333333,171.0
18,118.75,12.296226898414837,50.680213663632856,13.690034125361732,11.141060513180175,42.26345596729059,106.0,153.2863157894737,210.0
19,142.0,13.446189622059965,62.247094212269175,18.224245874211476,13.48880848561188,63.99137802864845,106.0,168.7799295774648,235.0
20,4.0,2.256758334191025,26.062517493469926,2.9326504330976517,1.702809865267451,6.414213562373095,106.0,125.25,157.0
21,227.0,17.000746355818674,47.923544907019874,18.800320876736368,15.52953681827818,60.57716446627535,106.0,157.05837004405285,229.0
22,154.75,14.036873567421145,-7.679928124808995,17.06542781320874,11.778416327533057,50.04163056034261,106.0,167.69466882067852,219.0
23,132.25,12.976360421598395,37.7920520500691,13.485834965136966,12.569106636866158,42.92031021678297,106.0,154.36672967863893,223.0
24,183.75,15.295678028289107,-87.22823532250158,16.97102671431089,14.250881581729665,53.57716446627535,106.0,159.00408163265305,230.0
25,225.25,16.93508805561977,42.819628283068305,18.8594022829353,15.299448783416262,57.45584412271571,106.0,160.20643729189788,220.0
26,21.25,5.201570947860099,-32.760188064452315,5.956066552976574,4.556801593956749,16.071067811865476,106.0,122.2235294117647,142.0
27,142.75,13.481652161769508,38.96980118957608,16.10526452765677,12.218841969629418,50.798989873223334,106.0,150.48336252189142,188.0
28,139.5,13.327299669871433,41.70789698647706,15.472250913149907,12.079214829390642,51.298989873223334,106.0,153.17921146953404,217.0
29,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,106.0,112.66666666666667,118.0
30,6.75,2.9316150714175193,0.0,4.073400617738525,2.199887763691482,9.414213562373096,106.0,112.74074074074075,125.0
31,213.5,16.487469266111074,88.70910683749587,17.915069387145905,16.159835905024813,76.94112549695427,106.0,155.2271662763466,228.0
32,23.5,5.4700209598571305,3.991637004021982,8.538603840284267,3.657332812281012,19.535533905932738,106.0,127.55319148936171,148.0
33,210.25,16.361497922884933,42.5385541461986,18.60905429549049,15.002059766754522,61.92031021678297,106.0,140.95838287752676,186.0
34,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,106.0,112.0,120.0
35,101.5,11.368105109938904,-82.50902687002215,12.657818918370594,10.534955110855202,43.970562748477136,106.0,143.02463054187191,198.0
36,179.75,15.128278427043359,13.797162831111029,15.92093256425363,14.478736549186399,53.21320343559643,106.0,146.26564673157162,221.0
37,154.75,14.036873567421145,56.84718617926172,16.685015828122793,12.912303182404,70.5269119345812,106.0,159.10662358642972,225.0
38,167.25,14.592782937361742,31.028867360348496,15.420118073028174,13.896459505721683,48.748737341529164,106.0,136.4947683109118,180.0
39,139.0,13.303394180365686,-67.92613431313517,13.559517103397816,13.108463888351976,44.21320343559643,106.0,167.00359712230215,227.0
40,151.25,13.877228871110882,18.329080005172106,15.87119699324456,12.895868555026631,53.04163056034261,106.0,142.31404958677686,202.0
41,43.5,7.442171739215616,-14.029115045696546,7.6269283280470175,7.415289874984175,24.31370849898476,106.0,127.98850574712644,148.0
42,169.5,14.690612745308144,58.15265678021396,16.66531775020875,13.16392465240613,53.748737341529164,106.0,150.8480825958702,219.0
43,19.75,5.014626706796775,28.977852809794506,6.493060603590201,4.020466457853285,16.94974746830583,107.0,120.0253164556962,134.0
44,145.25,13.599192765483634,17.155958491624514,17.817793290683422,11.156232034558576,48.970562748477136,106.0,163.58519793459553,223.0
45,208.5,16.293263794503588,38.12759890556333,18.592217744521392,14.62106631779254,61.04163056034261,106.0,162.7158273381295,216.0
46,162.25,14.372999552399637,25.899891753424555,15.699006329024682,13.5364721234473,52.97361107568208,106.0,158.27118644067798,222.0
47,145.5,13.610890997982688,-28.47312045264371,15.406145929242095,12.34713459799087,47.21320343559643,106.0,151.78006872852234,214.0
48,201.0,15.99753570059363,84.38619993676865,17.991731668801116,14.27238301653218,53.04163056034261,106.0,162.55597014925374,233.0
